Title,Artist,Year,Popularity,Duration (s),Tempo (bpm)
Don't Go Down To Reno,Tony Christie,1989,0.554493654,202.00444,127.855
Last Christmas (Single Version),Ashley Tisdale,2006,0.400039657,235.07546,116.043
Discord,Fire Engines,1980,nan,227.47383,127.164
Skinhead on the MBTA (Album Version),Dropkick Murphys,1997,nan,229.51138,168.21
Can't Stop the Beat,Trinere,1989,nan,249.39057,81.61
Sugar Sugar,Kidz Bop Kids,2006,nan,168.69832,122.44
Pilot Can At The Queer Of God (LP Version),The Flaming Lips,1993,0.786533164,256.83546,141.896
Está bien,La Firma,2003,0.265861049,213.18485,155.062
Oh I'm Evil,Una Mae Carlisle,2002,0.266955186,145.37098,155.491
Skate or Live,Best Fwends,2007,0.553946822,139.83302,194.042
Sound Off,Michael Brecker,1999,0.419674279,364.59057,197
Iron Man,The Cardigans,1996,0.649675062,259.76118,137.342
El Joven Aprendiz De Pintor,Joaquin Sabina Y Viceversa,1985,nan,226.21995,105.127
Angels Can't Stop,Valet,2009,0.377531645,950.93506,117.048
Welcome The Outlaw,Terry Ganzie,1994,nan,210.25914,141.195
Farewell Blues,Flatt And Scruggs,1994,nan,149.99465,149.843
My Girlfriend Insanity,Helalyn Flowers,2007,0.565741508,236.30322,125.027
Bolero Militar,Bersuit Vergarabat,1996,0.304169503,208.56118,121.91
Girl Falling Down,Jimmy Somerville,1999,0.249065795,235.54567,91.001
Hangs Em High,Hit The Lights,2008,0.743872511,174.10567,140.255
Mi Llamada,La Mafia,1991,nan,209.97179,95.418
Brow Beaten,Silver Columns,2010,0.687135562,338.65098,140.003
It Takes Two,Marvin Gaye / Kim Weston,1966,0.609188864,177.91955,151.057
Lovely Little Frankenstein,SNFU,1995,0.299877488,153.3122,229.682
Love In The First Degree,Bananarama,1987,0.705669662,208.92689,119.204
Down Home Jump,Lionel Hampton and his orchestra,2001,nan,193.25342,99.553
Arschgesicht,Bangbros,2007,nan,203.44118,140.013
Grand Canyon (Ada Remix),Tracey Thorn,2007,0.57010593,537.86077,125.012
Old Friends,Paul Brown,2005,0.649989756,243.90485,122.623
Position,Terror Fabulous,1995,0.628125058,191.73832,94.958
The Neden Game,Insane Clown Posse,1996,0.753815432,247.14404,150.746
It's A Feel Good Thing,S Club 7,1999,0.583566126,181.10649,122.905
Capsella Bursa Pastoris (Toxin Mix),I:Scintilla,2006,0.246865094,217.59955,146.582
Dance In My Blood (Egg Foo Young Remix),Men_ Women & Children,2006,nan,303.15057,126.987
Where The Boat Leaves From (Album),Zac Brown Band,2007,0.755847555,222.53669,91.971
CNN War Theme,Monster Magnet,2004,0.553166754,217.10322,146.683
Lady Jane,The Rolling Stones,1966,nan,187.50649,103.069
Extrication Love Song,Hot Tuna,1976,nan,270.96771,93.532
Quiet,Alien Ant Farm,2003,0.738774894,180.00934,136.111
Friday (Shut The Club Down),Raheem Devaughn,2008,0.626315227,218.67057,100.995
Not Now James_ We're Busy,Pop Will Eat Itself,2008,0.512253654,190.82404,120.555
Show A Little Faith,Charlotte Church,2005,0.730261307,278.59546,135.908
Many years,Drevo,2003,nan,84.58404,125.989
Between Me & You Kid (Album Version),Mudhoney,1993,0.536032112,217.5473,158.517
Through Sun and Wine,Holly Golightly,2004,0.538943856,198.1122,85.383
Mutate With Me,The Humpers,1996,0.476248227,133.01506,201.703
Tired From Sleeping,The Checks,2007,0.443291312,178.1024,63.532
It's Lonely In The Streets,Nautilis,2002,0.581365608,159.65995,31.888
Happiness: We're All In It Together,This Will Destroy You,2006,0.690507604,514.0371,133.926
Someone For Me,Travis Tritt,1991,nan,240.16934,87.93
Triesteitaliana,Novembre,2007,nan,295.23546,124.078
Distancia,Alberto Cortez,1989,0.334706549,252.78649,91.008
Zhu Da Ai,Kelly Chen,2008,0,189.64853,106.694
Crawling,Alvik,2004,nan,162.0371,180.012
Acting,Sweet Trip,2009,0.528287872,423.91465,121.696
What Say You,Travis Tritt,2008,0.626822864,199.52281,121.965
Pengatrubbel,Governor Andy,2009,0.521359217,225.07057,90.009
Bouquet Of Blues (2002 Digital Remaster),Julie London,1957,0.228844431,178.52036,146.908
Stairway To Heaven,Dread Zeppelin,1991,nan,654.52363,110.089
Proposition 61,The Most Serene Republic,2005,0.553245721,186.95791,130.094
Anything,Danzig,1992,0.611454434,289.35791,128.403
Walk Me Home,Quickspace,1999,0.212045405,397.37424,143.635
Lay Down,A II Z,2006,0,201.92608,154.744
Estrellas,Los De Adentro,2001,0.215080319,281.23383,121.109
Even the Queen,Too Much Joy,1999,nan,192.10404,91.267
Got It Twisted,Mobb Deep,2004,0.662826893,224.62649,103.433
Shut Your Eyes,Snow Patrol,2006,nan,209.162,125.057
Another Cha Cha,Santa Esmeralda,1994,nan,241.55383,134.114
Waste,Stuck In The Sound,2006,0.38151161,254.22322,138.129
Good Morning Little Schoolgirl,The Yardbirds,1964,0.669819117,161.20118,191.969
Happy Time,Brendan Perry,1993,0.377531645,187.74159,74.948
How Can A Poor Man Stand Such Times And Live?,The Blues Band,1993,0,389.11955,92.123
Pères,Dominique A,1999,0.450992312,213.81179,91.982
Pony Time,Chubby Checker,1961,nan,148.27057,155.244
Rebirth Of Tragedy (Album Version),Vision of Disorder,1998,nan,237.81832,171.307
Rezolution,Pascal FEOS & Marc Miroir,2007,0.215080319,403.80036,0
The Girl From Ipanema (Garota De Ipanema),Paula Santoro,2006,0.377531645,192.41751,129.591
Drop dead,Diary of Dreams,1998,0.542307526,431.12444,100.03
Beautiful Mind,My Hero Is Me,2008,0.532486254,288.91383,100.024
Black River (Album Version),Green On Red,2003,0.452929706,163.02975,105.622
Crossing The Triangle Of Flames,Darkthrone,1993,0.686864894,357.66812,126.866
B Groove,Soul II Soul,1995,0.427446571,163.3171,98.489
Dispelling The Myths Of Couch,7000 Dying Rats,1998,0,41.11628,117.27
Ally Smile,New Bomb Turks,1998,0.212045405,188.89098,188.614
Bate Tambor,Leci Brandão,2006,0.260338243,177.8673,64.82
Hands of Kindness,Delirious,1997,0.327736683,283.8722,136.057
Save Me,Darren Styles,2006,nan,252.89098,84.987
Andra Sidan Sjön,Dungen,2001,0.515963631,246.54322,82.711
Still Love You So,Johnny Ace / The Johnny Otis Band,1995,0.334706549,162.01098,57.681
Magazine,The Kills,2005,0.508289106,123.0624,84.047
Girls Gone Wild,Jagged Edge Featuring Major Damage,2003,0.253834736,263.94077,163.997
Pot kettle black,Wilco,2002,0.834749046,240.71791,123.123
Let It Roll,Velvet Revolver,2007,0.746535889,152.45016,103.791
Zero Comfort Margin,Circle Of Dead Children,2005,0.413739836,107.2322,233.64
Local Authority,Mogwai,2008,0.740970232,254.69342,75.632
The Bull And The Ram,Former Ghosts,2009,0.678855012,337.99791,110.099
Chacun sa vie,Mac Kregor,2009,0,182.64771,167.477
Jezebel,Ky-Mani Marley,2007,nan,266.94485,83.593
Pour Un Flirt Avec Toi,Jane Birkin - Christophe Miossec,2004,0.535215806,192.41751,161.176
Lotte,Tim Fischer,2005,nan,184.52853,112.09
A Day in a Life,Push Button Objects,1999,nan,335.01995,82.041
WMDS,Scientist,2006,0.310791536,232.202,137.753
No Me Falles,Los Secretos,1986,nan,202.16118,166.358
Oh Bondage_ Up Yours!,X-Ray Spex,1978,0.684163364,167.52281,158.695
Savage Rhythm,Cab Calloway And His Orchestra,1996,0.266955186,155.0624,113.97
Beirut,Steps Ahead,1986,0.372530039,497.60608,223.683
Boll Weevil,Blind Willie McTell,2001,nan,116.34893,130.36
First Impression (S.H.O.K.K. Mix),Dave Joy,2001,0.392008771,477.90975,138.975
Don't You Go Away,Liquid People,2003,0.288481643,385.2273,125.976
Watching Television,The Microscopic Septet,2006,nan,55.2224,148.165
Yeah Yeah Yeah,Glenda Collins,1997,nan,88.5024,128.948
Last Night On Earth,Melanie C,2005,nan,208.14322,84.693
As Long As I Live,Lena Horne,1984,nan,164.88444,162.987
Je meurs,Jean Ferrat,1975,nan,152.13669,97.064
Crosswinds,Dif Juz,1985,0.439202489,463.17669,97.05
From: Skulls,Thunderbirds Are Now!,2005,nan,353.48853,189.119
Shame On You,Nik Kershaw,1984,0.572920148,217.7824,94.216
Marian's Mood,Dena DeRose,2002,0,288.78322,177.025
Everyday People,Sly & The Family Stone,1969,nan,141.40036,114.231
Buy Me A Condo,Weird Al Yankovic,1984,0.638838097,232.64608,158.516
La discoteca,Marquess,2007,0.44082644,197.40689,121.961
I Just Wait,Soulphiction,2008,0.349119965,206.05342,199.874
No Man Is Perfect,Alton Ellis,1980,0.323112121,254.17098,118.897
Planetary Takeover,Snowgoons,2009,nan,239.64689,94.281
Wow,Kate Bush,1978,0.786941712,240.8224,125.211
Sweet Harmony,The Beloved,1992,0.733635015,301.00853,101.216
I'm Free,Sculpture,1999,0.319565987,316.76036,116.518
Master Celebrator,No Fun At All,1995,0.587076184,170.89261,116.105
He Turns Down,Cat Power,1998,0.647316431,339.35628,144.098
Tekknophobia,Wizzy Noise,2002,0,454.53016,141.997
Greatest X,Janet Jackson,2008,nan,263.02649,114.024
Shes All Up Above,Mojave 3,2003,0.624490399,218.33098,120.91
Violence,Glass Ghost,2009,0.427658154,152.0322,96.998
Dealing With The Man,Laurent Garnier,2009,0.510962044,352.67873,150.006
Hot Black Silk,Songs:Ohia,1999,0.518418707,188.1073,112.085
Centrifuge,Birdsongs of the Mesozoic,2003,nan,248.37179,120.055
Infinite Justice,Ritual,2003,nan,395.91138,155.999
What's Your Damage?,Test Icicles,2005,nan,216.45016,174.942
The Question Has Changed,Kinesis,2005,0.402582112,262.84363,85.053
Snookeroo,Ringo Starr,1974,0.460541281,208.48281,138.227
Statement Of Vindication,Bikini Kill,1996,nan,71.41832,85.335
Shoo Bop,David Lee Roth,2003,0.400039657,311.562,98.988
I Buy American Records,Saint Etienne,1994,0.47643522,169.45587,94.981
Breeze...,Dubtribe Sound System,1999,0.424090811,433.18812,122.123
Gospel Changes,John Denver,1971,nan,206.0273,137.267
Canadian Metal,Darkthrone,2007,0.683161471,284.9171,90.911
Civil Rights,Fugu,2005,0.419163476,144.79628,134.926
If I Can't Have You,Jackie Wilson,1958,nan,101.77261,161.728
Grey Day,David Kitt,2006,0.360370583,169.37751,90.998
Tu Mens,Anggun,2000,nan,224.07791,123.938
Sorry Feat. Rafaqat Ali Khan,Rishi Rich,2006,nan,235.25832,71.14
La Plaza De La Soledá,Nacho Vegas,2003,nan,286.06649,171.58
Moon Rays,Suburban Knight,2005,0.453951235,362.08281,132.98
Shrine Of Life,KATAKLYSM,1993,nan,292.49261,90.75
Sanctuary,Dogwood,2004,0.212045405,137.87383,133.092
Milk From The Coconut (Part 1),Toto Coelo,1997,nan,208.27383,105.241
Sexual Healing,Marvin Gaye,1982,nan,239.80363,188.762
I'll Walk Alone,Engelbert Humperdinck,1986,nan,219.42812,97.608
Brainwash,Polkadot Cadaver,2007,nan,233.22077,165.026
Keepers Of The Night,Ari Koivunen,2008,0.571622615,286.61506,103.823
Two Studies on Ancient Greek Scales: 1)Olympos' Pentatonic  2)Archytas' Enharmonic,Kronos Quartet,1997,0.304169503,221.51791,95.099
Up On That Cloud,Blue Rodeo,2005,0.473346541,213.34159,189.068
I Believe To My Soul (1999 Digital Remaster) (Stereo),Love Sculpture,1968,nan,227.83955,98.577
Wheels Of Confusion,Cathedral,1992,0.407233015,329.32526,129.211
Better Believe It Remix (feat. Bun B_ Trae_ Yo Gotti & Foxx),Lil Boosie feat. Bun B_ Trae_ Yo Gotti & Foxx,2009,0.253834736,318.79791,125.827
Touch Of Heaven,Najee,1992,0.375984302,304.50893,98.164
Plus D'Un Milliard De Filles,Laurent Voulzy,1988,0,79.43791,98.401
When Paula Sparks,Copeland,2003,0.714788675,294.60853,116.068
My Adorable One,James & Bobby Purify,2002,0,161.90649,109.41
Not A Kid Anymore,Marco Beltrami,2009,0.334706549,115.04281,113.863
Stone In Love,Tim Buckley,1973,nan,177.57995,178.315
What's Going On,Blind Mr. Jones,1994,0.377531645,206.47138,101.591
A Better Man  (LP Version),All-4-One,1994,0.55438551,244.40118,125.566
Iran Into Tulsa,Shockabilly,2001,nan,124.26404,124.42
Summer Job,Art Brut,2009,0.66417285,175.12444,170.503
Sailors' Graves,Even As We Speak,1993,0.270775999,229.66812,125.736
Out Deh,Gregory Isaacs,2001,nan,216.5024,138.356
Chacho,La Excepcion,2002,0.340922756,306.15465,183.485
Work Song,Charles Mingus,1955,nan,379.61098,127.275
Let's Begin,Anita O'Day,1992,nan,138.762,141.101
Hungry,Paul Revere & The Raiders,1966,0.773433412,179.82649,130.725
Dingle Regatta (2004 Digital Remaster),Lindisfarne,1972,nan,64.78322,65.562
45,Doves,2005,0.270775999,257.51465,85.288
Danger Of The Water,The Futureheads,2004,0.620458374,176.5873,100.009
First Time It Shouldn't Taste Like Blood,Boys Night Out,2003,0.245898812,180.92363,168.608
Everything You Do [You're Sexing Me] [Duet with Kip Winger] (Album Version),Fiona,1989,0.313836847,254.17098,108.738
Wake Up,Clara Hill,2006,0.430160637,114.31138,142.817
Belleza Pasajera,Tam Tam Go!,1993,nan,190.04036,141.394
WHO ARE YOU? (remix),Chipmunk / Double S / Ice Kid / Maveric / Griminal,2008,0.367273416,259.26485,149.512
Fern 2,Norken,2005,0.304169503,34.84689,84.864
Posters,Five Fingers of Funk,1995,nan,259.3171,96.627
Let Me Go,Susan Ashton,1993,0.266955186,210.25914,84.837
Meh No Mae,Asobi Seksu,2009,0.583408382,208.79628,127.823
Freiwild,K.I.Z.,2005,nan,234.68363,183.619
En La Palma De La Mano,Maria Dolores Pradera,2001,nan,208.03873,173.714
Coleman,Archer Prewitt,1998,0.237185837,255.242,118.18
Now That I Found You,Keith John Adams,2008,0,175.51628,111.553
Game Owe Me (feat. Kool Ace) (Amended Album Version),D4L,2005,0,242.31138,137.009
Where The Wild Things Were,Sounds from the Ground,1996,0.520370304,458.31791,92.932
Les Sauvages,Les Sans Culottes,2002,0.213980418,270.31465,147.301
Got Me Smilin',Silers Bald,2003,0.228917559,256.13016,92.023
Seems Like Youre Gonna Take Me Be,Solomon Burke,2006,0.48456253,195.082,109.717
Strange (Album Version),Built To Spill,2001,0.722371955,239.62077,103.327
Blir det hon eller blir det jag,Lisa Nilsson,1995,nan,271.5424,85.003
Hey Mister (Album Version),Chad Brock,2000,nan,228.12689,102.997
Thank You All,Kingdom Come,1995,nan,282.67057,130.694
Tell Someone Who Cares,The Boat People,2005,0.430160637,211.56526,105.996
Shinagawa - Moment On Tokaido,Lawrence English,2005,nan,383.9473,82.669
Mexicat,Gatto Ciliegia Contro Il Grande Freddo,2000,nan,238.52363,159.859
Dawn of Life,Paralysed Age,2002,0.447135796,340.92363,110.042
Las flores no son para ti,stereotipos,2007,nan,239.35955,96.054
Sweet Child O' Mine,Most Precious Blood,2004,0.375984302,307.46077,148.314
Gotta Getaway,Stiff Little Fingers,1998,nan,261.11955,166.848
Living With The Human Machines,Strangelove,1996,0.462379946,289.01832,88.209
Bethena,Scott Joplin,1992,nan,319.29424,126.393
Fallen Foster,Bettie Serveert,1999,0.460484845,239.72526,94.84
Words (Julian Beeston Remix),Missing Persons,1999,nan,279.24853,140.984
Drive,Pacha Massive,2007,0.558033229,300.93016,125.994
Consume (LP Version),Sick Of It All,1994,0.270775999,223.7122,101.143
Is It Good Enough,Mica Paris,1998,0.327736683,312.52853,97.884
20 Good Reasons,Thirsty Merc,2007,nan,229.61587,92.599
I Know I Can,Dave Hollister,2008,0,363.38893,89.465
I Hate Hate,Reagan Youth,1984,0.669616825,118.88281,176.869
Possibly An Armchair (And Embodying) Fresh Faced Boys,Vivian Stanshall,1981,0,324.23138,94.358
Isn't It Always Love,Karla Bonoff,1977,nan,187.27138,164.834
Can't Help Lovin' Dat Man,Ray Brown Trio,1988,nan,571.74159,103.983
Alla vaahterapuun,Aikakone,1995,nan,223.00689,105.788
The Mood That I'm In,Billie Holiday,1991,0.550647153,181.10649,97.139
Tapisserie XXIV - Free Gibbet,Sebkha-Chott,2008,nan,48.53506,106.679
Colin Tries Standing,Zbigniew Preisner,1993,0.450992312,50.99057,125.15
Memory In The Snow,Michael Gettel,1992,nan,221.90975,138.102
Roderigo,Lack Of Afro,2007,nan,224.13016,110.395
Child Of My Kingdom,Arthur Brown,1968,0.636287224,422.16444,114.754
Dankan,Victor Démé,2008,nan,205.11302,87.999
Axt-Skit,Patrick Mit Absicht,2005,nan,23.77098,142.027
Amaro Shavo,Dela Dap,2004,0.63232821,408.31955,119.989
Consequences,Count Basic,2002,0.265861049,240.14322,100.998
Got The Bull By The Horns,Johnny Horton,1996,nan,131.81342,87.653
Stricher,Roman Flügel,2010,0.492299861,506.53995,236.029
Co-Song,Ten Foot Pole,1994,0.503237096,224.522,192.035
Why?,Kisha,1998,nan,225.38404,199.917
Highway 61 Revisited (Live),Masters Apprentices,1994,nan,234.34404,158.551
Christmas Time,Banaroo,2005,nan,219.42812,127.996
No Cuesta Dinero,Kiko Veneno,2005,0.323112121,308.55791,108.043
Send Me The Manual,Vanessa Amorosi,2008,0.39440991,199.28771,110.072
Guayabera,Johannes Linstead,2003,0.444401715,294.66077,115.049
Drowning In The Sea Of Love,Joe Simon,1972,nan,203.02322,119.891
Rhythm of the Road,The String Cheese Incident,1997,0.407233015,368.1171,155.229
Dance_ Dance,Fall Out Boy,2008,nan,189.80526,114.535
My Girl,Michael Jackson,1972,nan,184.78975,106.015
Laude Novella,Mediaeval Baebes,2002,0.464923994,101.8771,126.879
Below The Stars,The Field Mice,1990,0.526706659,335.46404,70.09
Isle of Yew,The Meligrove Band,2005,0.48321988,218.72281,68.312
Southern Girls,Cheap Trick,1977,nan,215.74485,155.663
Does It Hurt for You,Cinnamon Chasers,2010,0.654917265,248.31955,160.047
Vissi d'arte from Tosca,Grover Washington_ Jr.;Orchestra of St. Luke's,2000,nan,231.20934,129.964
Deliciously Down,Cree Summer,1999,0.299877488,290.61179,148.003
Somewhere Around Nothing,Apocalyptica,2003,0.702551585,248.73751,92.516
Ojos De Dios,Hablando en Plata,2009,0,190.40608,181.872
Galway Bay,Josef Locke,2006,0.327736683,196.62322,74.683
Single Finger Salute,Swervedriver,1995,0.468997788,121.93914,135.374
Run,The Strike Boys,2002,nan,299.31057,166.143
Domingo,Gotan Project,2006,0.761384875,257.25342,114.027
The Sound and The Fury,IV Thieves,2006,0.203150035,199.41832,120.448
Theme,Stratus,2005,0,280.76363,149.988
Plus D'hiver,Yann Tiersen - Jane Birkin,2005,0.737740024,143.5424,137.744
Velho Bandido,Casuarina,2007,0.531612769,195.34322,147.982
Introduction,Tommy Flanagan,1987,0,112.14322,74.748
Homegrown,The Pharcyde,2004,0.457447167,138.50077,130.019
No_ No_ No,Destiny's Child,1998,0.645944991,394.60526,156.697
Jurukan,Rail Band,2002,nan,455.99302,63.933
Bitch Niggaz,Dr. Dre / Hittman / Six-Two / Snoop Dogg,1999,nan,253.46567,110.255
Take Five,Davy Graham,2008,0.462379946,112.24771,98.39
The First Noel/Mary Mary,Sarah McLachlan,2006,0.478726288,299.88526,139.293
Gestolen Gevoel,Frank Boeijen,1991,0.249065795,266.762,79.353
Almendra,Arturo Sandoval,1997,0.266955186,271.43791,139.944
Nowhere To Hide,Dominici,2007,0.47643522,306.25914,136.923
She Serious,Kia Shine / Wifey,2007,0,287.26812,156.034
A Part Of Me,40 Grit,2003,0.405115722,250.67057,148.234
March Of The Dreamless,Destrophy,2007,0.454192988,270.81098,98.003
Love Is The Groove,Cher,1998,0.529730607,271.12444,126.905
She Cries,Rufio,2001,nan,234.91873,179.249
Love Is The Master,John Denver,1986,nan,161.95873,153.354
Mundo moderno,Autoramas,2007,0.494469709,144.19546,88.009
Wasted Sunsets,Ian Gillan,2008,nan,244.06159,134.166
Nachtportier,Frank Boeijen Groep,1983,0,199.99302,132.832
Thank You For The Music,Abba,1977,nan,242.78159,98.666
Human,The Human League,1986,0.791955581,265.35138,101.357
Still Standing,Monica featuring Ludacris,2010,0.749983813,254.01424,146.26
Prime Directive,Dave Holland_ Chris Potter_ Robin Eubanks_ Steve Nelson_ Billy Kilson,2004,nan,778.762,79.059
El Momento,Jaguares,2001,0.407233015,302.8371,119.09
Stronger than all,HAMMERFALL,1998,0.640017319,269.06077,197.724
U North,James Newton Howard,2007,0.377531645,108.35546,129.113
Was Ist Das (Hacienda Mix),LaFee,2006,nan,348.96934,179.972
I Always Dream About You,Spagna,1993,nan,346.122,124.957
D.I.A.L.O.,John Vanderslice,2009,0.73359311,191.11138,144.458
Ver de Feliz,BT,2006,0.457447167,311.90159,110.002
Devil Got My Woman,Skip James,1931,nan,174.78485,91.635
212 Recap,Ezgirl,2005,nan,16.97914,106.772
No Quise Hacerle Daño,Albert Pla,1995,0.484907258,282.85342,120.448
One Fine Day,THE CHIFFONS,1963,nan,129.67138,88.808
Wet The Club,Onyx,2002,0.444401715,255.50322,164.981
Impotency,Home Grown,1995,0.345802234,278.22975,100.632
Hannett's Lift Recording 1,Joy Division,2007,0.424090811,107.59791,92.258
Death Or Jail,Sick Of It All,2010,0.748424604,171.07546,113.198
Starve_ Beg_ & Die (a.k.a. Fuck You Kill Me),Circle Of Dead Children,2010,0.490904201,257.35791,172.407
Fatal,J. Holiday,2007,0.782004948,315.48036,114.256
A Life Less Ordinary,Levellers,2008,0.576399981,188.36853,123.075
Llámame,La Costa Brava,2003,0.212045405,132.07465,112.673
Will It Be (For Us),Suicidal Romance,2007,0.450992312,305.21424,130.004
Feel So Good,Ashanti,2003,0.603286495,271.72526,42.508
Soul Stomp,Earl Van Dyke,1965,nan,152.00608,95.532
Stay in the light,Uli Jon Roth,2008,nan,390.16444,115.837
Niotkuda,Let 3,1989,0.400039657,295.10485,96.776
Nie Wieder (Toktok RMX),Pyranja,2006,nan,317.09995,85.989
Jamila,Common Bond,2006,0.462643183,209.84118,202.658
Ellinor,The Car Is On Fire,2005,0.552007132,156.08118,142.179
There's A Willow,Hope Sandoval and the Warm Inventions,2009,0.617081858,307.04281,151.918
Slowly,Webb Pierce,1979,nan,153.39057,108.016
BENUMBED,SITD,2005,0.407233015,386.69016,93.015
Waves (BBC Session),Gene Loves Jezebel,1985,0.239048884,191.65995,184.231
Sweet Chilli (Album Version),Led Bib,2009,nan,322.0371,118.33
Sweet Is the Melody,Iris Dement,2007,0.576190395,162.63791,118.399
Stay High,Mystery Machine,1993,nan,157.6224,169.227
Amazed,Greg Laswell,2006,0.773229377,251.66322,129.996
Drifting Heart,Chuck Berry,1956,nan,169.89995,115.747
Ameno,Era,1996,0.806073246,230.37342,102.792
Intro,Erick Sermon,1993,nan,34.08934,185.553
I Wish We Could Be Alone  (LP/Single Version),Laura Branigan,1982,0,200.48934,115.487
Down the Elements,Japancakes,2000,0.215080319,1012.4273,91.453
Dead Body Man,Insane Clown Posse,1995,nan,260.80608,144.434
Da La Cara,Cañaman,2006,nan,262.5824,121.565
Calvados Chopper,State Radio,2005,0.614844161,440.63302,168.488
Ben,Jackson 5,1998,0.533370878,174.10567,65.732
Satan,Deerhoof,1999,0.556814213,209.71057,104.301
Genio Atrapado,Christina Aguilera,2000,nan,278.04689,84.655
Les Anges Dans Nos Campagnes (Gloria In Excelsis Deo),Die Prinzen,1999,0.215080319,253.46567,138.893
Anything Jesus Does_ I Can Do Better,Locust,2003,0.461603974,89.18159,146.993
Hoshigaoka,Ayabie,2008,nan,272.09098,100.034
When I See You,Chris Botti,2001,0.530824938,255.81669,226.56
War Pigs,Black Sabbath,1971,nan,456.80281,100.71
My Father's Dreams,Articles Of Faith,1982,0.501015499,133.95546,125.004
Solo Otra Vez,Hombres G,1987,0.494489518,225.14893,154.516
Complacent,Osunlade,2009,0.266955186,250.22649,180.247
Warten auf dich - Karaoke Version,Urbanize,2007,0,219.79383,102.999
A Hundred Years (LP Version),Tracy Chapman,1989,nan,263.3922,109.249
Bluebird,Howlin' Wolf,1991,nan,181.2371,119.735
Humpty Dumpty,Chick Corea & Hiromi,2008,nan,470.02077,106.801
Bumbling Along,Nino Nardini,2001,0.368413733,33.20118,88.678
The Sound Of Eight Hooves,Amon Amarth,2001,nan,290.19383,129.984
Lost,Roger Sanchez,2006,nan,532.37506,127.929
The Evils Of Placenta Hustling,Bloodhound Gang,1995,nan,19.82649,110.857
Los Periodicos De Mañana,M-Clan,2001,0.443291312,269.11302,116.026
Fall In Philadelphia,Hall & Oates,1972,0.394394856,168.48934,153.395
Give It To Me,VOTA,2008,0.557187768,180.76689,95.812
Watchdog,Anni Piper,2007,0.323112121,210.54649,126.687
Italian Skyline,Rex The Dog,2008,0.649989756,150.56934,125.039
Fall Back (Album Version),Gerald Levert,2007,0.536788886,220.86485,152.011
Szinkópé,Ghymes,2006,0.215080319,229.98159,111.999
I Want To Take You Higher,Marcella Detroit,1994,0.304169503,209.162,97.018
When She Dances,Joe Bonamassa,2004,0.685120843,293.69424,69.457
C-C (You Set The Fire In Me),Tom Vek,2005,0.757537976,271.72526,103.059
The Sorcerer,Herbie Hancock,1968,nan,335.49016,107.484
Thru Fade Away,Mother Love Bone,1989,0.729233255,225.09669,109.685
Sweet Sophia (Album Version),Stephen Kellogg & The Sixers,2007,0.334706549,191.76444,134.011
Smile,K'Naan,2004,0,249.12934,163.44
So Beautiful (Album Version),Boney James,2001,0.38293509,261.8771,160.245
Electric Relaxation,A Tribe Called Quest,1993,nan,243.53914,98.247
When The Price Is Your Love,Lory Bianco,1993,nan,265.01179,107.243
Fortunes Of Misfortune,Anna Waronker,2002,nan,221.17832,120.027
Everybody's Somebody's Fool,Red Garland,1996,nan,478.87628,64.887
Nothin' But A Good Time (Digitally Remastered 96),Poison,1996,0.328220577,222.9024,129.055
Not Sorry,The Cranberries,1993,nan,260.25751,104.15
The Truth,nor elle,2008,0.349166902,219.53261,100.013
No You Girls,Franz Ferdinand,2009,nan,428.45995,119.943
Bock To Bock (Digitally Remastered),Wes Montgomery,1957,nan,608.05179,129.513
With You I'm Born Again (Duet with George Benson) (Album Version),Vanessa Williams,2005,0.323112121,233.29914,81.018
Days Are Numbers (The Traveller),The Alan Parsons Project,1985,nan,248.78975,164.112
I Hope You Get Well Soon_ I Hope You Get Well Tomorrow,The Boats,2009,0.340922756,211.59138,119.999
Leave Me Alone,Lisa Miskovsky,2004,0.310791536,249.62567,123.3
Lightning Breaks,Plasmatics,1996,0.531722098,168.25424,134.102
Little Things That Mean A Lot,Doc Watson,1995,nan,187.42812,110.502
Blue (Album Version),The Rain Parade,1983,0.494489518,175.64689,116.518
Acercame,Morbo,2001,0.448780344,196.72771,128.168
Mad About the Boy,The Radio Dept,2006,0.604554485,207.20281,124.968
What Is This Thing Called Love,Solveig Slettahjell,2005,0.266955186,337.99791,121.034
Big Boy,Sparks,1976,0.660436226,208.8224,131.925
(Waiting For You And) England To Return,Stackridge,2009,nan,243.46077,72.264
Farewell to Wendo,Mock & Toof,2010,0.72078658,152.34567,120.082
Dog Faced Boy,Eels,2001,0.33759306,173.45261,119.083
I Love Ya Baby,Junior Kimbrough,1997,0.464923994,410.80118,82.065
Remind Me In Dark Times,Shout Out Out Out Out,2009,0.500800364,529.60608,125.986
Baby I'm a Manarchist,TAKARU,2004,0.518963744,89.73016,96.084
William Tell Override,Jets To Brazil,2002,0.64068403,237.92281,130.965
Dancing,Alexandre Desplat & Aaron Zigman,2007,0,93.77914,114.004
C'Est Plus Fort Que Moi,Lorie,2004,0.425124658,235.10159,105.029
All I Wanna Be (Is By Your Side),Peter Frampton & The Herd,2000,0.443291312,255.79057,86.133
Man's World,Natacha Atlas,2003,0.474054831,280.39791,162.025
A Peine De La Peine,De Palmas,1996,nan,286.32771,160.131
Getting Cozy,The In Crowd,2008,0.288481643,362.52689,85.754
Non Stop Violence,Apoptygma Berzerk,2001,nan,361.24689,125.065
